dataset,ATE,lb,ub,DGPid,trueATE
low1044,0.076635792,-0.031673519,0.184945104,19,0.120725664
low1045,0.126481466,0.098553247,0.154409684,35,0.122643948
low1046,2.192257493,1.66878913,2.715725855,62,2
low1047,-2.306439647,-2.858887464,-1.753991829,63,-2
low1048,1.895423772,1.48837701,2.302470533,61,2
low1049,4.005196703,3.221091938,4.789301468,29,4
low105,2.067516254,1.663309734,2.471722773,61,2
low1050,0.879500357,0.666881003,1.092119711,58,1
low1051,0.084574277,-0.001352401,0.170500956,19,0.120725664
low1052,10.15518596,8.993456264,11.31691567,30,10
low1053,2.588923631,1.645606705,3.532240558,31,2
low1054,2.168800449,1.694021317,2.643579581,61,2
low1055,0.436611501,0.257947292,0.61527571,57,0.5
low1056,0.092979937,0.066733155,0.119226719,36,0.094084067
low1057,2.334114325,1.644634539,3.023594111,32,2.527390408
low1058,-0.794939665,-0.9940292,-0.59585013,59,-0.8
low1059,0.087811322,0.007291302,0.168331342,17,0.106696525
low106,0.476584679,0.286372729,0.666796629,57,0.5
low1060,10.31167558,9.141541162,11.48180999,30,10
low1061,0.062308552,-0.023595666,0.14821277,19,0.120725664
low1062,-1.832006751,-2.466867412,-1.19714609,63,-2
low1063,2.220473456,1.518969141,2.921977771,32,2.527390408
low1064,0.156983376,0.088687493,0.22527926,20,0.156759654
low1065,-0.896282502,-1.092086053,-0.700478952,59,-0.8
low1066,1.674428176,1.507864391,1.840991961,60,1.686248312
low1067,2.680250277,1.982157208,3.378343345,32,2.527390408
low1068,0.111594084,0.091279119,0.131909049,33,0.099589875
low1069,-2.571615495,-3.454397814,-1.688833175,63,-2
low107,1.70100995,1.552808053,1.849211847,60,1.686248312
low1070,0.087709896,0.056121933,0.11929786,34,0.049629693
low1071,9.517441008,8.526667033,10.50821498,30,10
low1072,0.099941488,0.069699849,0.130183127,35,0.122643948
low1073,0.141394438,0.077368385,0.205420491,20,0.156759654
low1074,1.814501487,1.65744247,1.971560504,60,1.686248312
low1075,0.820729304,0.57075955,1.070699058,58,1
low1076,2.021442037,1.561247709,2.481636364,61,2
low1077,0.082749118,0.056569464,0.108928773,36,0.094084067
low1078,10.30886667,9.261116012,11.35661733,30,10
low1079,-2.164971403,-2.728383894,-1.601558913,63,-2
low108,1.069662002,0.853420769,1.285903235,58,1
low1080,1.930260483,1.560510431,2.300010536,61,2
low1081,0.096002037,0.019109488,0.172894586,19,0.120725664
low1082,2.113170899,1.674499269,2.551842528,61,2
low1083,0.097515176,0.078360079,0.116670273,33,0.099589875
low1084,3.743481628,3.422857816,4.064105439,64,3.625
low1085,2.358546195,1.871760754,2.845331636,62,2
low1086,2.069287261,1.57747481,2.561099713,61,2
low1087,1.574907995,1.43254641,1.717269579,60,1.686248312
low1088,3.423906167,3.10363053,3.744181804,64,3.625
low1089,0.064559106,-0.020620328,0.149738539,17,0.106696525
low109,0.995145497,0.786376845,1.20391415,58,1
low1090,1.892888812,1.432114728,2.353662896,62,2
low1091,2.17918764,1.733892112,2.624483167,61,2
low1092,0.03874513,0.007638328,0.069851932,34,0.049629693
low1093,0.098116243,0.079255062,0.116977423,33,0.099589875
low1094,1.690624182,1.162393849,2.218854514,62,2
low1095,10.49980607,9.459307546,11.5403046,30,10
low1096,10.66971803,9.622201078,11.71723497,30,10
low1097,0.447962729,0.244401023,0.651524435,57,0.5
low1098,2.042618993,1.526447736,2.558790251,61,2
low1099,1.840604633,1.380745161,2.300464106,62,2
low11,3.932604961,3.60105275,4.264157172,64,3.625
low110,-0.816295666,-1.0426003,-0.589991031,59,-0.8
low1100,1.922898748,1.519368674,2.326428822,61,2
low1101,0.121924762,0.049811265,0.194038259,18,0.147047059
low1102,1.565504623,1.411379062,1.719630184,60,1.686248312
low1103,0.088621191,0.069861444,0.107380938,33,0.099589875
low1104,0.10990635,0.03783649,0.18197621,19,0.120725664
low1105,4.139233736,3.287410166,4.991057306,29,4
low1106,-0.841580301,-1.029978217,-0.653182384,59,-0.8
low1107,-1.717603195,-2.483620791,-0.951585598,63,-2
low1108,0.084472785,0.004655102,0.164290469,18,0.147047059
low1109,0.982916016,0.745811206,1.220020825,58,1
low111,1.822386426,1.352552782,2.292220069,62,2
low1110,10.4855252,9.347169397,11.62388099,30,10
low1111,0.122298554,0.093882069,0.150715039,35,0.122643948
low1112,2.109366176,1.716029088,2.502703264,61,2
low1113,9.829407047,8.76213464,10.89667945,30,10
low1114,2.180332755,1.128441968,3.232223542,31,2
low1115,0.15174828,0.08676808,0.216728479,20,0.156759654
low1116,-2.379563521,-3.173085307,-1.586041735,63,-2
low1117,4.31735445,3.56141129,5.073297611,29,4
low1118,0.099749665,0.072617166,0.126882164,36,0.094084067
low1119,2.695783024,1.980354934,3.411211114,32,2.527390408
low112,10.03658309,8.9679933,11.10517289,30,10
low1120,0.113939809,0.088672069,0.139207548,35,0.122643948
low1121,0.596560951,0.421856037,0.771265864,57,0.5
low1122,1.692361432,1.200836779,2.183886086,62,2
low1123,2.307997849,1.624248623,2.991747075,32,2.527390408
low1124,0.098668117,0.079239851,0.118096383,33,0.099589875
low1125,0.136954983,0.07783236,0.196077607,19,0.120725664
low1126,3.752406509,3.434486546,4.070326472,64,3.625
low1127,3.380347044,2.580161083,4.180533006,29,4
low1128,0.093648758,0.06710675,0.120190766,36,0.094084067
low1129,0.087757172,0.068876484,0.10663786,33,0.099589875
low113,9.646378542,8.568340679,10.72441641,30,10
low1130,-2.030923718,-2.890041327,-1.17180611,63,-2
low1131,-0.743185311,-0.960123357,-0.526247266,59,-0.8
low1132,2.177419273,1.725927222,2.628911324,62,2
low1133,1.625092817,1.476966919,1.773218714,60,1.686248312
low1134,1.010051849,0.820770129,1.199333569,58,1
low1135,0.61124923,0.428119577,0.794378882,57,0.5
low1136,0.17403918,0.083879089,0.264199272,18,0.147047059
low1137,0.124836988,0.063007371,0.186666604,19,0.120725664
low1138,0.180493104,0.121539546,0.239446662,20,0.156759654
low1139,2.480395992,1.431668429,3.529123555,31,2
low114,0.519503762,0.339082726,0.699924798,57,0.5
low1140,2.076503669,1.359431792,2.793575546,32,2.527390408
low1141,10.14835387,9.060975829,11.23573191,30,10
low1142,0.08431842,-0.01460075,0.18323759,19,0.120725664
low1143,3.950544548,3.079901269,4.821187828,29,4
low1144,10.47910555,9.380804087,11.57740702,30,10
low1145,1.674897848,1.522753433,1.827042262,60,1.686248312
low1146,1.976008423,1.446298054,2.505718793,62,2
low1147,3.647422907,2.786786611,4.508059203,29,4
low1148,2.290481754,1.806877745,2.774085763,61,2
low1149,0.126539573,0.098147732,0.154931414,35,0.122643948
low115,-0.76429632,-0.949163074,-0.579429565,59,-0.8
low1150,0.04266719,0.01070139,0.074632989,34,0.049629693
low1151,1.067798261,0.854933327,1.280663195,58,1
low1152,0.58474456,0.396391648,0.773097472,57,0.5
low1153,0.594784412,0.416715921,0.772852904,57,0.5
low1154,10.5887445,9.603726424,11.57376257,30,10
low1155,2.253533587,1.123834082,3.383233092,31,2
low1156,-0.797290142,-0.97829616,-0.616284124,59,-0.8
low1157,1.749509218,1.230831745,2.268186691,62,2
low1158,2.128680964,1.66430548,2.593056449,62,2
low1159,0.110990005,0.080632594,0.141347415,35,0.122643948
low116,0.128219626,0.060964985,0.195474266,20,0.156759654
low1160,2.415720441,1.968036663,2.863404219,62,2
low1161,2.066846923,1.38261933,2.751074517,32,2.527390408
low1162,2.249645859,1.805247302,2.694044416,61,2
low1163,0.130320188,0.047834954,0.212805423,19,0.120725664
low1164,1.943351801,1.512101527,2.374602076,61,2
low1165,1.423476934,0.173520088,2.673433779,31,2
low1166,-0.974087101,-1.181951871,-0.76622233,59,-0.8
low1167,3.714704647,3.370158887,4.059250408,64,3.625
low1168,9.844972613,8.574367358,11.11557787,30,10
low1169,11.3123035,10.1744896,12.45011739,30,10
low117,-0.746084113,-0.921289884,-0.570878341,59,-0.8
low1170,2.255194892,1.260396102,3.249993682,31,2
low1171,0.105633646,0.079792971,0.131474321,36,0.094084067
low1172,1.041065813,0.831492108,1.250639518,58,1
low1173,0.989950097,0.755608781,1.224291412,58,1
low1174,3.744046972,3.428091074,4.06000287,64,3.625
low1175,2.562792817,1.80547372,3.320111914,32,2.527390408
low1176,0.091634794,-0.008886647,0.192156235,19,0.120725664
low1177,2.275504372,1.814604673,2.736404072,62,2
low1178,0.089066144,-0.027867711,0.205999998,19,0.120725664
low1179,2.195652784,1.490751191,2.900554377,32,2.527390408
low118,0.189383375,0.097895563,0.280871187,18,0.147047059
low1180,0.108921392,0.088924049,0.128918736,33,0.099589875
low1181,1.954559614,1.495269228,2.41385,62,2
low1182,0.939447008,-0.033504219,1.912398235,31,2
low1183,0.095861103,0.068985812,0.122736394,36,0.094084067
low1184,0.171113412,0.109404802,0.232822021,20,0.156759654
low1185,-1.543016009,-2.140899116,-0.945132902,63,-2
low1186,0.073324471,0.047485766,0.099163177,36,0.094084067
low1187,4.000386688,3.669045646,4.331727731,64,3.625
low1188,0.90658703,0.696029356,1.117144703,58,1
low1189,2.204733877,1.383672332,3.025795421,31,2
low119,0.174426838,0.097380451,0.251473225,18,0.147047059
low1190,0.179146494,0.091885111,0.266407877,18,0.147047059
low1191,0.061507555,0.031991712,0.091023398,34,0.049629693
low1192,0.106822112,0.023341124,0.190303101,17,0.106696525
low1193,2.360267681,1.648358114,3.072177247,32,2.527390408
low1194,0.089267545,0.063242246,0.115292844,36,0.094084067
low1195,1.923257431,0.832981333,3.01353353,31,2
low1196,1.582967885,1.417488225,1.748447545,60,1.686248312
low1197,-2.308616029,-2.809534274,-1.807697784,63,-2
low1198,0.086719617,0.056990951,0.116448284,35,0.122643948
low1199,0.044839813,0.01300586,0.076673765,34,0.049629693
low12,-2.07200821,-2.692416343,-1.451600078,63,-2
low120,1.495802117,1.350615661,1.640988573,60,1.686248312
low1200,2.309017339,1.623781901,2.994252777,32,2.527390408
low1201,1.047283344,0.861755281,1.232811408,58,1
low1202,4.542966076,3.731615856,5.354316296,29,4
low1203,0.147362447,0.077030247,0.217694648,19,0.120725664
low1204,-1.776893735,-2.586926444,-0.966861025,63,-2
low1205,0.172430616,0.084915532,0.2599457,19,0.120725664
low1206,0.174278634,0.076058577,0.27249869,18,0.147047059
low1207,0.11243498,0.084733774,0.140136186,35,0.122643948
low1208,2.40287517,1.820571089,2.98517925,62,2
low1209,4.826878913,4.053263652,5.600494173,29,4
low121,0.083271659,0.057067943,0.109475374,36,0.094084067
low1210,1.870919499,1.434017339,2.30782166,61,2
low1211,0.092985716,0.021826792,0.16414464,20,0.156759654
low1212,0.169032386,0.084439787,0.253624984,18,0.147047059
low1213,0.104574286,0.084423727,0.124724846,33,0.099589875
low1214,3.870658729,3.476434504,4.264882954,64,3.625
low1215,0.070842705,0.041776719,0.099908691,34,0.049629693
low1216,0.558241807,0.386183921,0.730299693,57,0.5
low1217,1.319076285,0.368505303,2.269647266,31,2
low1218,1.681368418,1.529526828,1.833210009,60,1.686248312
low1219,0.108535063,0.035168109,0.181902016,19,0.120725664
low122,0.418160182,0.247540491,0.588779872,57,0.5
low1220,4.271199165,3.465341556,5.077056774,29,4
low1221,1.960663816,1.485071584,2.436256048,62,2
low1222,0.088986705,0.021650681,0.156322728,19,0.120725664
low1223,0.041094595,0.008052285,0.074136904,34,0.049629693
low1224,0.30722621,0.123257687,0.491194733,57,0.5
low1225,2.525799241,1.957867341,3.093731142,62,2
low1226,-1.187035393,-1.724247051,-0.649823736,63,-2
low1227,2.078064869,1.640074659,2.516055079,61,2
low1228,3.063338448,2.233860994,3.892815902,29,4
low1229,0.081400828,0.055613203,0.107188454,36,0.094084067
low123,0.158025171,0.084178726,0.231871616,18,0.147047059
low1230,1.982603752,1.585648253,2.37955925,61,2
low1231,0.107036339,0.07379832,0.140274358,35,0.122643948
low1232,1.822273821,1.392887573,2.251660069,61,2
low1233,0.431598323,0.262538055,0.600658591,57,0.5
low1234,3.848314162,3.533857273,4.162771052,64,3.625
low1235,4.054439125,3.749080902,4.359797349,64,3.625
low1236,4.736548092,3.924268477,5.548827708,29,4
low1237,0.100959774,0.081146232,0.120773316,33,0.099589875
low1238,0.087982281,0.024521296,0.151443267,19,0.120725664
low1239,0.08525352,0.012900423,0.157606617,19,0.120725664
low124,1.986703875,1.557863684,2.415544067,62,2
low1240,2.202859596,1.203567963,3.202151229,31,2
low1241,0.466667674,0.281230834,0.652104513,57,0.5
low1242,2.174884157,1.138024995,3.211743318,31,2
low1243,2.024762603,1.624709494,2.424815712,61,2
low1244,0.065242597,0.03406444,0.096420755,34,0.049629693
low1245,0.120826519,0.040345839,0.201307199,20,0.156759654
low1246,9.698631893,8.643807028,10.75345676,30,10
low1247,1.600210602,1.449273284,1.75114792,60,1.686248312
low1248,1.652872156,1.497041016,1.808703297,60,1.686248312
low1249,0.097396648,0.017163715,0.177629581,19,0.120725664
low125,3.688171239,2.954742074,4.421600404,29,4
low1250,1.751916373,1.282560486,2.22127226,62,2
low1251,1.851656786,1.158113539,2.545200034,32,2.527390408
low1252,2.087079695,1.063488913,3.110670478,31,2
low1253,0.112378003,0.092812853,0.131943154,33,0.099589875
low1254,-2.173218165,-2.699272295,-1.647164034,63,-2
low1255,0.060844377,0.030178685,0.091510069,34,0.049629693
low1256,0.193367057,0.09257823,0.294155884,18,0.147047059
low1257,-0.858264313,-1.052377151,-0.664151474,59,-0.8
low1258,1.740904828,1.589419176,1.89239048,60,1.686248312
low1259,1.535570366,1.377494041,1.693646692,60,1.686248312
low126,1.77296277,0.665528513,2.880397027,31,2
low1260,0.110219698,0.090016338,0.130423057,33,0.099589875
low1261,0.465315702,0.291540769,0.639090634,57,0.5
low1262,-0.767794412,-0.980795595,-0.554793228,59,-0.8
low1263,10.77481465,9.621228482,11.92840083,30,10
low1264,0.027045612,-0.009601938,0.063693162,34,0.049629693
low1265,0.13129153,0.066724659,0.195858401,20,0.156759654
low1266,1.685878068,1.525232698,1.846523437,60,1.686248312
low1267,3.581795949,2.808683047,4.354908851,29,4
low1268,10.19811794,9.169447301,11.22678858,30,10
low1269,1.731281055,1.582163392,1.880398717,60,1.686248312
low127,0.085909526,0.058797091,0.113021961,36,0.094084067
low1270,0.034786289,0.00259713,0.066975448,34,0.049629693
low1271,3.567909389,3.256783613,3.879035165,64,3.625
low1272,-1.792275619,-2.484789665,-1.099761572,63,-2
low1273,3.964627976,3.208005418,4.721250534,29,4
low1274,0.60052508,0.414836498,0.786213663,57,0.5
low1275,4.535482446,3.75113901,5.319825881,29,4
low1276,1.103584013,0.881833731,1.325334296,58,1
low1277,4.631561571,3.852806278,5.410316865,29,4
low1278,0.138087952,0.109167523,0.16700838,35,0.122643948
low1279,2.283406873,1.821361876,2.745451869,61,2
low128,0.457389336,0.288412256,0.626366416,57,0.5
low1280,1.829225464,1.432608592,2.225842336,61,2
low1281,0.137187468,0.108483583,0.165891353,35,0.122643948
low1282,-1.857686249,-2.780567823,-0.934804675,63,-2
low1283,3.927653725,3.597004214,4.258303236,64,3.625
low1284,0.127375861,0.05701549,0.197736231,19,0.120725664
low1285,3.791380424,3.466371157,4.116389692,64,3.625
low1286,0.060960105,-0.018136496,0.140056707,19,0.120725664
low1287,3.916003324,3.193030596,4.638976052,29,4
low1288,9.435179138,8.174374094,10.69598418,30,10
low1289,0.09994541,0.079771961,0.120118859,33,0.099589875
low129,0.091414996,0.07127103,0.111558963,33,0.099589875
low1290,2.347893495,1.47100171,3.22478528,31,2
low1291,0.085445224,0.066357577,0.104532871,33,0.099589875
low1292,0.71639699,0.456667083,0.976126898,58,1
low1293,0.089915437,0.070370258,0.109460615,33,0.099589875
low1294,-1.996518151,-2.446214095,-1.546822207,63,-2
low1295,-0.78886057,-0.978763818,-0.598957321,59,-0.8
low1296,0.835531416,0.622607724,1.048455109,58,1
low1297,2.384754021,1.220977887,3.548530155,31,2
low1298,0.159977204,0.08664448,0.233309928,20,0.156759654
low1299,0.113395013,0.093830662,0.132959365,33,0.099589875
low13,0.190235441,0.128805952,0.25166493,20,0.156759654
low130,3.80400588,3.477019441,4.13099232,64,3.625
low1300,0.072068988,-0.02148215,0.165620126,19,0.120725664
low1301,2.434748531,1.727563881,3.141933181,32,2.527390408
low1302,0.030288496,-0.001456764,0.062033756,34,0.049629693
low1303,3.637333784,3.302210761,3.972456808,64,3.625
low1304,1.806290917,1.638763171,1.973818663,60,1.686248312
low1305,1.162849084,0.961683514,1.364014655,58,1
low1306,0.50530849,0.337191263,0.673425717,57,0.5
low1307,0.874400138,0.649479847,1.09932043,58,1
low1308,1.934054015,1.43053021,2.437577821,62,2
low1309,-0.983533287,-1.159068861,-0.807997713,59,-0.8
low131,-1.924737201,-2.86056853,-0.988905871,63,-2
low1310,3.746841505,2.958650089,4.535032921,29,4
low1311,3.711868192,2.757577274,4.66615911,29,4
low1312,1.628194325,0.542499864,2.713888787,31,2
low1313,1.316907106,0.285917264,2.347896948,31,2
low1314,0.077445884,0.058934699,0.095957068,33,0.099589875
low1315,0.459739537,0.286247875,0.633231199,57,0.5
low1316,2.460871086,1.775455229,3.146286943,32,2.527390408
low1317,3.631706419,3.315602535,3.947810303,64,3.625
low1318,0.143018291,0.080447463,0.20558912,19,0.120725664
low1319,11.13901303,10.04112226,12.2369038,30,10
low132,1.563964856,0.978632131,2.149297582,62,2
low1320,2.541562665,1.556184932,3.526940397,31,2
low1321,4.271292423,3.44295227,5.099632576,29,4
low1322,-1.917750557,-2.750955767,-1.084545347,63,-2
low1323,1.484135125,0.330531828,2.637738421,31,2
low1324,2.206092525,1.754008303,2.658176747,61,2
low1325,2.344020203,1.81374503,2.874295376,62,2
low1326,0.110060231,0.090110392,0.13001007,33,0.099589875
low1327,0.134784985,0.053963742,0.215606227,17,0.106696525
low1328,1.882074335,1.455298342,2.308850328,61,2
low1329,1.785972489,1.643109759,1.92883522,60,1.686248312
low133,-0.812894461,-1.006578279,-0.619210644,59,-0.8
low1330,1.523702371,1.372736264,1.674668479,60,1.686248312
low1331,1.879607366,1.432683078,2.326531655,62,2
low1332,0.170272493,0.096390297,0.244154689,19,0.120725664
low1333,1.668949629,1.522030038,1.81586922,60,1.686248312
low1334,0.123746334,0.028161732,0.219330936,18,0.147047059
low1335,0.040320492,0.006906587,0.073734397,34,0.049629693
low1336,0.041476691,0.009345366,0.073608016,34,0.049629693
low1337,2.023469323,1.564783298,2.482155348,62,2
low1338,1.78950147,1.296600646,2.282402294,62,2
low1339,2.492602614,1.354850113,3.630355116,31,2
low134,-1.723152392,-2.590685135,-0.855619648,63,-2
low1340,2.206060124,1.676560893,2.735559355,61,2
low1341,1.590528188,1.441939227,1.73911715,60,1.686248312
low1342,2.219310703,1.805040944,2.633580462,61,2
low1343,10.1560773,9.080723921,11.23143067,30,10
low1344,1.007253603,0.779696776,1.234810431,58,1
low1345,0.127773462,0.041262555,0.21428437,17,0.106696525
low1346,1.623675817,1.18770616,2.059645473,61,2
low1347,0.126349314,0.054990582,0.197708045,20,0.156759654
low1348,-0.845370098,-1.047551879,-0.643188318,59,-0.8
low1349,0.553401222,0.367312162,0.739490281,57,0.5
low135,1.524222226,1.36387267,1.684571782,60,1.686248312
low1350,0.115823671,0.03703715,0.194610192,18,0.147047059
low1351,0.148100425,0.084780126,0.211420725,20,0.156759654
low1352,0.433619833,0.264435005,0.602804662,57,0.5
low1353,0.130188933,0.056587807,0.203790059,19,0.120725664
low1354,1.886094109,1.076138441,2.696049777,31,2
low1355,3.845899623,3.519669685,4.172129562,64,3.625
low1356,0.042173748,0.0109891,0.073358396,34,0.049629693
low1357,0.123645961,0.095046838,0.152245083,35,0.122643948
low1358,10.18925984,9.079262135,11.29925754,30,10
low1359,0.046282167,0.016705012,0.075859322,34,0.049629693
low136,10.73330584,9.541467175,11.92514451,30,10
low1360,3.685762648,3.349604923,4.021920372,64,3.625
low1361,2.095179107,1.566485965,2.623872249,62,2
low1362,0.114619307,0.09421997,0.135018644,33,0.099589875
low1363,1.90321239,1.510303666,2.296121113,62,2
low1364,0.093125704,-5.91E-05,0.186310518,20,0.156759654
low1365,0.105251169,0.019930409,0.190571928,17,0.106696525
low1366,0.161541702,0.074589286,0.248494118,18,0.147047059
low1367,1.849159479,1.377064106,2.321254852,62,2
low1368,1.983883678,0.906046353,3.061721002,31,2
low1369,0.129783409,0.101030965,0.158535853,35,0.122643948
low137,0.221114231,0.136340908,0.305887553,18,0.147047059
low1370,1.821879979,1.664990554,1.978769404,60,1.686248312
low1371,10.0302325,8.848411803,11.21205321,30,10
low1372,0.180844708,0.096464435,0.265224981,20,0.156759654
low1373,2.681246493,1.964407311,3.398085676,32,2.527390408
low1374,0.04201631,-0.04282969,0.12686231,17,0.106696525
low1375,2.123903132,1.726182347,2.521623917,61,2
low1376,0.082819542,0.056925725,0.108713358,36,0.094084067
low1377,2.122301656,1.620332374,2.624270939,61,2
low1378,-1.989739098,-2.737244951,-1.242233246,63,-2
low1379,0.136673063,0.077407011,0.195939115,20,0.156759654
low138,0.13353395,0.112536399,0.154531502,33,0.099589875
low1380,0.527047319,0.361129007,0.692965631,57,0.5
low1381,0.093177276,0.074310435,0.112044116,33,0.099589875
low1382,0.79092061,0.541020331,1.040820889,58,1
low1383,3.273077659,2.474291133,4.071864184,29,4
low1384,-2.062334683,-2.773636219,-1.351033148,63,-2
low1385,1.832481469,0.65146814,3.013494799,31,2
low1386,0.093752019,-0.009641629,0.197145666,19,0.120725664
low1387,2.535293413,1.647460616,3.42312621,31,2
low1388,0.098047593,0.077102895,0.118992292,33,0.099589875
low1389,1.041841785,0.824689695,1.258993875,58,1
low139,0.102223016,0.01886902,0.185577011,17,0.106696525
low1390,0.074641145,0.048019152,0.101263137,36,0.094084067
low1391,1.631046268,1.482027972,1.780064565,60,1.686248312
low1392,0.096937875,0.076859838,0.117015912,33,0.099589875
low1393,0.110131706,0.037939126,0.182324287,19,0.120725664
low1394,0.06779072,0.035240898,0.100340542,34,0.049629693
low1395,0.568016768,0.397278675,0.738754861,57,0.5
low1396,0.089934785,0.063726658,0.116142912,36,0.094084067
low1397,1.850025286,1.693993528,2.006057044,60,1.686248312
low1398,0.055218603,0.024862,0.085575206,34,0.049629693
low1399,0.194292731,0.109095583,0.279489878,18,0.147047059
low14,10.60227533,9.335623695,11.86892696,30,10
low140,1.978521904,1.12287482,2.834168989,31,2
low1400,0.165330651,0.065606905,0.265054396,18,0.147047059
low1401,0.139459152,0.052327481,0.226590823,17,0.106696525
low1402,0.16907379,0.08244121,0.25570637,18,0.147047059
low1403,0.086336617,0.066765223,0.10590801,33,0.099589875
low1404,0.065767698,0.036473354,0.095062042,34,0.049629693
low1405,2.10728258,1.149809794,3.064755365,31,2
low1406,3.525929554,3.220912373,3.830946735,64,3.625
low1407,2.439296487,1.745784178,3.132808797,32,2.527390408
low1408,1.132914053,0.920098899,1.345729207,58,1
low1409,4.531052962,3.714065382,5.348040542,29,4
low141,0.083746586,0.006847919,0.160645254,19,0.120725664
low1410,10.04363735,8.793135242,11.29413945,30,10
low1411,1.663802973,1.505916022,1.821689924,60,1.686248312
low1412,0.207585235,0.143663885,0.271506584,20,0.156759654
low1413,0.178687801,0.096956445,0.260419157,17,0.106696525
low1414,0.142327877,0.062823822,0.221831932,17,0.106696525
low1415,4.156634238,3.386292752,4.926975723,29,4
low1416,2.13244059,1.745793224,2.519087957,62,2
low1417,1.613093686,1.462285903,1.763901469,60,1.686248312
low1418,0.092808385,0.064879239,0.120737531,36,0.094084067
low1419,0.668632158,0.492907092,0.844357225,57,0.5
low142,3.68481946,3.334497603,4.035141317,64,3.625
low1420,0.210146848,0.127202277,0.293091418,18,0.147047059
low1421,2.029264743,1.342645246,2.71588424,32,2.527390408
low1422,0.186380505,0.095673419,0.277087592,17,0.106696525
low1423,2.649626811,1.950158151,3.349095471,32,2.527390408
low1424,0.097392283,0.070990861,0.123793704,36,0.094084067
low1425,0.147614943,0.117178372,0.178051513,35,0.122643948
low1426,1.727381,1.568468751,1.886293249,60,1.686248312
low1427,2.279968122,1.595672738,2.964263507,32,2.527390408
low1428,0.036539731,-0.037648684,0.110728147,19,0.120725664
low1429,0.237125129,0.159280474,0.314969784,18,0.147047059
low143,10.74099064,9.615728507,11.86625276,30,10
low1430,2.386526772,1.678445058,3.094608486,32,2.527390408
low1431,4.536647947,3.771929762,5.301366131,29,4
low1432,9.654071203,8.45245884,10.85568357,30,10
low1433,2.325774762,1.885202857,2.766346667,62,2
low1434,1.006592826,0.685572949,1.327612703,58,1
low1435,0.100886019,0.081316411,0.120455628,33,0.099589875
low1436,1.770357995,0.73856217,2.802153821,31,2
low1437,0.03686722,0.00409703,0.069637411,34,0.049629693
low1438,0.10109307,0.074964169,0.127221972,36,0.094084067
low1439,2.070814329,1.380435783,2.761192875,32,2.527390408
low144,2.201725497,1.766590061,2.636860933,62,2
